Country,Year,Forecast_Value,Metric,Model
OMN,2027,565979.4269985243,Average,Linear
QAT,2027,544638.0112978637,Average,Linear
SD,2027,182354.095182922,Average,Linear
UEA,2027,5874729.920429896,Average,Linear
YEM,2027,245582.67227942916,Average,Linear
BHR,2028,33147505.214262985,Total,Linear
DZA,2028,67825221.06088963,Total,Linear
EGY,2028,108774840.99673901,Total,Linear
IRQ,2028,129391684.23173702,Total,Linear
JOR,2028,39539243.13422977,Total,Linear
KSA,2028,326206768.7556982,Total,Linear
KWT,2028,58025895.38189059,Total,Linear
LBN,2028,30237646.80286484,Total,Linear
LBY,2028,39109967.99264265,Total,Linear
MAR,2028,121896538.31947967,Total,Linear
OMN,2028,60496381.956898525,Total,Linear
QAT,2028,58553919.9201301,Total,Linear
SD,2028,20440159.870942667,Total,Linear
UEA,2028,612660374.3847669,Total,Linear
YEM,2028,27419911.153669626,Total,Linear
BHR,2028,341726.85787899984,Average,Linear
DZA,2028,699229.083101955,Average,Linear
EGY,2028,1133071.2603826982,Average,Linear
IRQ,2028,1333934.8889869796,Average,Linear
JOR,2028,416202.5593076818,Average,Linear
KSA,2028,3362956.3789247237,Average,Linear
KWT,2028,598205.1070297998,Average,Linear
LBN,2028,311728.3175553076,Average,Linear
LBY,2028,403195.5463159036,Average,Linear
MAR,2028,1256665.3434997904,Average,Linear
OMN,2028,630170.6453843596,Average,Linear
QAT,2028,603648.6589704134,Average,Linear
SD,2028,212918.33198898612,Average,Linear
UEA,2028,6316086.333863577,Average,Linear
YEM,2028,282679.49642958376,Average,Linear
BHR,2023,15136495.817077637,Total,XGBoost
DZA,2023,42129694.32714844,Total,XGBoost
EGY,2023,79213595.8123169,Total,XGBoost
IRQ,2023,95129206.66638184,Total,XGBoost
JOR,2023,24738724.688690186,Total,XGBoost
KSA,2023,212190898.41992188,Total,XGBoost
KWT,2023,37349623.15122986,Total,XGBoost
LBN,2023,17550117.655395508,Total,XGBoost
LBY,2023,23809056.418548584,Total,XGBoost
MAR,2023,72246517.21533203,Total,XGBoost
OMN,2023,37756166.67919922,Total,XGBoost
QAT,2023,32200066.696365356,Total,XGBoost
SD,2023,7298033.116531372,Total,XGBoost
UEA,2023,444184702.9958496,Total,XGBoost
YEM,2023,12506048.665176392,Total,XGBoost
BHR,2023,156046.34862966635,Average,XGBoost
DZA,2023,434326.7456407055,Average,XGBoost
EGY,2023,825141.6230449677,Average,XGBoost
IRQ,2023,980713.4707874416,Average,XGBoost
JOR,2023,260407.62830200195,Average,XGBoost
KSA,2023,2187535.0352569264,Average,XGBoost
KWT,2023,385047.66135288513,Average,XGBoost
LBN,2023,180929.04799376812,Average,XGBoost
LBY,2023,245454.18988194416,Average,XGBoost
MAR,2023,744809.4558281653,Average,XGBoost
OMN,2023,393293.4029083252,Average,XGBoost
QAT,2023,331959.45047799335,Average,XGBoost
SD,2023,76021.1782972018,Average,XGBoost
UEA,2023,4579223.742225254,Average,XGBoost
YEM,2023,128928.33675439579,Average,XGBoost
BHR,2024,16475731.480872804,Total,XGBoost
